time,value
2024-10-11T22:38:45.314,1
2024-10-11T22:53:26.406,0
2024-10-11T22:53:55.209,1
2024-10-11T23:08:39.908,0
2024-10-11T23:09:05.175,1
2024-10-13T15:18:30.241,0
2024-10-13T15:18:51.884,1
2024-10-13T15:33:09.258,0
2024-10-13T15:34:02.872,1
2024-10-13T15:48:37.825,0
2024-10-13T15:49:13.755,1
2024-10-13T16:04:09.680,0
2024-10-13T16:04:24.448,1
2024-10-13T16:18:09.401,0
2024-10-13T16:19:35.408,1
2024-10-13T16:33:20.193,0
2024-10-13T16:34:46.212,1
2024-10-13T16:47:33.723,0
2024-10-13T16:49:56.884,1
2024-10-13T17:03:34.322,0
2024-10-13T17:05:07.393,1
2024-10-13T17:18:27.391,0
2024-10-13T17:20:18.226,1
2024-10-13T17:33:52.094,0
2024-10-13T17:35:28.739,1
2024-10-13T17:49:42.351,0
2024-10-13T17:50:39.474,1
2024-10-13T18:05:10.648,0
2024-10-13T18:05:49.997,1
2024-10-13T18:20:42.635,0
2024-10-13T18:21:00.809,1
2024-10-13T18:35:56.655,0
2024-10-13T18:36:11.341,1
2024-10-13T18:50:49.598,0
2024-10-13T18:51:21.942,1
2024-10-13T19:06:03.747,0
2024-10-13T19:06:32.578,1
2024-10-13T19:20:20.851,0
2024-10-13T19:21:43.237,1
2024-10-13T19:35:31.606,0
2024-10-13T19:36:54.022,1
2024-10-13T19:50:20.393,0
2024-10-13T19:52:03.997,1
2024-10-13T20:04:50.801,0
2024-10-13T20:07:13.955,1
2024-10-13T20:20:14.930,0
2024-10-13T20:22:23.837,1
2024-10-13T20:35:57.302,0
2024-10-13T20:37:33.890,1
2024-10-13T20:51:24.968,0
2024-10-13T20:52:43.794,1
2024-10-13T21:07:14.139,0
2024-10-13T21:07:53.690,1
2024-10-13T21:22:27.893,0
2024-10-13T21:23:03.667,1
2024-10-13T21:37:56.269,0
2024-10-13T21:38:14.472,1
2024-10-13T21:52:52.993,0
2024-10-13T21:53:25.353,1
2024-10-13T22:08:25.126,0
2024-10-13T22:08:36.279,1
2024-10-13T22:23:39.408,0
2024-10-13T22:23:46.996,1
2024-10-13T22:38:53.191,0
2024-10-13T22:38:57.359,1
2024-10-15T14:53:38.546,0
2024-10-15T14:54:00.277,1
2024-10-15T15:04:28.191,0
2024-10-15T15:09:10.224,1
2024-10-15T15:23:08.368,0
2024-10-15T15:24:20.142,1
